variant,sequence,frames,detections,detection_rate,pa_mpjpe_mm,mpjpe_mm,pve_mm,accel_official_30fps
paper_wham_bedlam_no_flip,downtown_bar_00_0,1239,,,52.70661163330078,82.26380920410156,95.0885009765625,6.058619499206543
fastvit_official_inputs,downtown_bar_00_0,1239,,,60.09088897705078,85.75299835205078,98.68228912353516,6.715831279754639
paper_wham_bedlam_flip,downtown_bar_00_1,577,,,38.837772369384766,55.46975326538086,65.65946197509766,10.954241752624512
paper_wham_bedlam_no_flip,downtown_bar_00_1,577,,,40.32053756713867,57.8624267578125,67.5384292602539,11.244415283203125
fastvit_official_inputs,downtown_bar_00_1,577,,,46.64238357543945,68.36762237548828,81.53057098388672,12.526872634887695
paper_wham_bedlam_flip,downtown_arguing_00_0,896,,,37.98761749267578,56.01870346069336,74.185791015625,3.9258475303649902
paper_wham_bedlam_no_flip,downtown_arguing_00_0,896,,,39.39358901977539,58.10517501831055,75.08470153808594,4.325789451599121
fastvit_official_inputs,downtown_arguing_00_0,896,,,50.13090133666992,66.90753936767578,91.31605529785156,5.354935646057129
paper_wham_bedlam_flip,downtown_arguing_00_1,894,,,36.171958923339844,48.91837692260742,67.73123931884766,3.4912850856781006
paper_wham_bedlam_no_flip,downtown_arguing_00_1,894,,,37.080780029296875,52.10817337036133,70.39469909667969,3.795560598373413
fastvit_official_inputs,downtown_arguing_00_1,894,,,51.360843658447266,64.7236557006836,93.4757080078125,5.532736301422119
paper_wham_bedlam_flip,downtown_crossStreets_00_0,527,,,43.016685485839844,73.49662780761719,80.841064453125,8.114446640014648
paper_wham_bedlam_no_flip,downtown_crossStreets_00_0,527,,,44.26150131225586,73.62628173828125,82.77271270751953,8.503554344177246
fastvit_official_inputs,downtown_crossStreets_00_0,527,,,49.917503356933594,77.94686889648438,87.11005401611328,9.313897132873535
paper_wham_bedlam_flip,downtown_crossStreets_00_1,504,,,35.221282958984375,48.02515411376953,59.24723434448242,9.058282852172852
paper_wham_bedlam_no_flip,downtown_crossStreets_00_1,504,,,36.287296295166016,49.050594329833984,59.56904983520508,9.437785148620605
fastvit_official_inputs,downtown_crossStreets_00_1,504,,,46.924564361572266,61.85734558105469,75.12056732177734,10.687878608703613
paper_wham_bedlam_flip,downtown_weeklyMarket_00_0,1042,,,30.82256317138672,55.270660400390625,65.44705200195312,5.840603828430176
paper_wham_bedlam_no_flip,downtown_weeklyMarket_00_0,1042,,,32.3798828125,55.65230941772461,67.61009979248047,6.202596187591553
fastvit_official_inputs,downtown_weeklyMarket_00_0,1042,,,41.917545318603516,74.87767028808594,92.6418685913086,8.115888595581055
iphone_subset_yolov8,downtown_weeklyMarket_00_0,1042,1043,1.0,73.04007720947266,167.54666137695312,190.88702392578125,19.6907958984375
paper_wham_bedlam_flip,downtown_car_00_0,799,,,46.88968276977539,75.5675048828125,85.81079864501953,8.564476013183594
paper_wham_bedlam_no_flip,downtown_car_00_0,799,,,46.69050979614258,74.06134796142578,86.42631530761719,9.122979164123535
fastvit_official_inputs,downtown_car_00_0,799,,,56.61567306518555,87.41677856445312,106.1209945678711,10.511713027954102
paper_wham_bedlam_flip,downtown_car_00_1,721,,,30.176509857177734,48.098941802978516,57.5749397277832,8.241024017333984
paper_wham_bedlam_no_flip,downtown_car_00_1,721,,,33.190284729003906,50.61692810058594,61.94411087036133,8.87377643585205
fastvit_official_inputs,downtown_car_00_1,721,,,40.01765060424805,61.17365264892578,73.83697509765625,10.486333847045898
paper_wham_bedlam_flip,downtown_warmWelcome_00_0,567,,,50.12447738647461,87.1061782836914,98.95349884033203,7.109226703643799
paper_wham_bedlam_no_flip,downtown_warmWelcome_00_0,567,,,50.04365539550781,87.1826400756836,99.90962219238281,6.8333563804626465
fastvit_official_inputs,downtown_warmWelcome_00_0,567,,,52.53091812133789,86.22396850585938,100.08305358886719,7.584953784942627
paper_wham_bedlam_flip,downtown_warmWelcome_00_1,551,,,37.8759765625,57.24979019165039,67.91107177734375,5.3414835929870605
paper_wham_bedlam_no_flip,downtown_warmWelcome_00_1,551,,,39.733177185058594,58.8504524230957,71.5363540649414,5.648629188537598
fastvit_official_inputs,downtown_warmWelcome_00_1,551,,,48.892398834228516,78.93246459960938,94.98603820800781,6.951749324798584
paper_wham_bedlam_flip,downtown_sitOnStairs_00_0,1300,,,35.91830062866211,64.20796966552734,71.47976684570312,4.002401351928711
paper_wham_bedlam_no_flip,downtown_sitOnStairs_00_0,1300,,,38.30859375,66.53917694091797,74.99222564697266,4.328094482421875
fastvit_official_inputs,downtown_sitOnStairs_00_0,1300,,,55.701377868652344,89.14740753173828,107.06256866455078,5.344339847564697
paper_wham_bedlam_flip,downtown_sitOnStairs_00_1,1328,,,36.37593460083008,57.597328186035156,70.04374694824219,4.016637325286865
paper_wham_bedlam_no_flip,downtown_sitOnStairs_00_1,1328,,,36.27214431762695,57.901527404785156,69.43699645996094,4.29822301864624
fastvit_official_inputs,downtown_sitOnStairs_00_1,1328,,,53.03213882446289,72.83686828613281,90.374267578125,5.603719711303711
paper_wham_bedlam_flip,outdoors_fencing_01_0,924,,,44.83850860595703,62.14847183227539,76.70865631103516,8.217940330505371
paper_wham_bedlam_no_flip,outdoors_fencing_01_0,924,,,47.92011642456055,67.35389709472656,85.16029357910156,8.92380142211914
fastvit_official_inputs,outdoors_fencing_01_0,924,,,57.4786262512207,80.6395034790039,100.54217529296875,10.627657890319824
iphone_subset_yolov8,outdoors_fencing_01_0,924,925,1.0,81.45211029052734,137.1604766845703,162.55966186523438,13.236639976501465
paper_wham_bedlam_flip,downtown_walking_00_0,1324,,,33.802894592285156,54.28679656982422,65.75969696044922,5.481121063232422
paper_wham_bedlam_no_flip,downtown_walking_00_0,1324,,,35.35942459106445,52.74686050415039,64.59209442138672,5.823569297790527
fastvit_official_inputs,downtown_walking_00_0,1324,,,46.76603317260742,62.55146026611328,76.46398162841797,7.355271816253662
paper_wham_bedlam_flip,downtown_walking_00_1,1255,,,35.65538024902344,53.450592041015625,64.2788314819336,6.219289779663086
paper_wham_bedlam_no_flip,downtown_walking_00_1,1255,,,37.065330505371094,56.49275588989258,67.46475219726562,6.6132049560546875
fastvit_official_inputs,downtown_walking_00_1,1255,,,57.62037658691406,75.62464141845703,87.3458251953125,8.534906387329102
paper_wham_bedlam_flip,flat_packBags_00_0,1272,,,36.055152893066406,55.83623123168945,65.22648620605469,5.779695510864258
paper_wham_bedlam_no_flip,flat_packBags_00_0,1272,,,39.09339904785156,58.344573974609375,69.09353637695312,6.121531009674072
fastvit_official_inputs,flat_packBags_00_0,1272,,,48.94536590576172,71.96391296386719,86.31327819824219,7.309018135070801
iphone_subset_yolov8,flat_packBags_00_0,1272,1273,1.0,63.88286209106445,149.93429565429688,168.5978240966797,21.94609260559082
paper_wham_bedlam_flip,downtown_cafe_00_0,932,,,33.44611740112305,54.872032165527344,66.13996124267578,6.8520917892456055
paper_wham_bedlam_no_flip,downtown_cafe_00_0,932,,,35.11400604248047,57.18093490600586,68.8369369506836,7.3891801834106445
fastvit_official_inputs,downtown_cafe_00_0,932,,,48.959571838378906,72.86387634277344,87.74581909179688,8.41666316986084
