variant,sequence,frames,detections,detection_rate,pa_mpjpe_mm,mpjpe_mm,pve_mm,accel_official_30fps
released_wham,downtown_walkBridge_01_0,1178,,,29.439802169799805,46.37080383300781,55.05584716796875,7.167690277099609
frozen_phone_candidate,downtown_walkBridge_01_0,1178,1179,1.0,88.41993713378906,238.53211975097656,260.2925109863281,17.43880271911621
released_wham,flat_guitar_01_0,747,,,43.285308837890625,64.01670837402344,78.172119140625,3.840955972671509
frozen_phone_candidate,flat_guitar_01_0,747,748,1.0,117.33377075195312,223.1926727294922,243.28599548339844,4.419977188110352
released_wham,downtown_walkUphill_00_0,384,,,24.435531616210938,42.469608306884766,50.01649856567383,6.3717427253723145
frozen_phone_candidate,downtown_walkUphill_00_0,384,385,1.0,81.08690643310547,184.07054138183594,203.36817932128906,17.25123405456543
released_wham,downtown_upstairs_00_0,824,,,23.645614624023438,38.57158660888672,46.6405029296875,7.0332136154174805
frozen_phone_candidate,downtown_upstairs_00_0,824,824,0.9987878787878788,87.83917999267578,178.51092529296875,202.419921875,12.613697052001953
released_wham,downtown_downstairs_00_0,627,,,26.838844299316406,98.90742492675781,104.61058044433594,7.261188983917236
frozen_phone_candidate,downtown_downstairs_00_0,627,628,1.0,78.27288818359375,193.1983642578125,212.74850463867188,9.993690490722656
released_wham,downtown_weeklyMarket_00_0,1042,,,30.82256317138672,55.270660400390625,65.44705200195312,5.840603828430176
frozen_phone_candidate,downtown_weeklyMarket_00_0,1042,1042,0.9990412272291467,89.19518280029297,201.74615478515625,238.93531799316406,12.90235424041748
released_wham,outdoors_fencing_01_0,924,,,44.83850860595703,62.14847183227539,76.70865631103516,8.217940330505371
frozen_phone_candidate,outdoors_fencing_01_0,924,925,1.0,95.43809509277344,173.7455291748047,206.41053771972656,9.630091667175293
released_wham,flat_packBags_00_0,1272,,,36.055152893066406,55.83623123168945,65.22648620605469,5.779695510864258
frozen_phone_candidate,flat_packBags_00_0,1272,1270,0.997643362136685,130.8637237548828,221.77024841308594,258.7609558105469,8.875577926635742
released_wham,downtown_stairs_00_0,1189,,,39.41078186035156,62.019874572753906,73.03677368164062,7.518529891967773
frozen_phone_candidate,downtown_stairs_00_0,1189,963,0.8092436974789916,80.52904510498047,150.5833740234375,177.91311645507812,14.159284591674805
released_wham,downtown_windowShopping_00_0,1805,,,29.270105361938477,50.59968566894531,59.63686752319336,5.329601287841797
frozen_phone_candidate,downtown_windowShopping_00_0,1805,1805,0.9994462901439646,76.5372314453125,160.58755493164062,191.52066040039062,7.025635719299316
released_wham,downtown_enterShop_00_0,1357,,,28.70543670654297,49.420291900634766,60.35442352294922,5.134230613708496
frozen_phone_candidate,downtown_enterShop_00_0,1357,1358,1.0,82.3781967163086,160.54409790039062,194.93307495117188,7.34389066696167
