accel_official_30fps,detection_rate,detections,frames,mpjpe_mm,pa_mpjpe_mm,pve_mm,sequence,variant
7.167689323425293,1.0,1179,1178,46.37080383300781,29.439802169799805,55.05584716796875,downtown_walkBridge_01_0,released_wham
18.376008987426758,1.0,1179,1178,227.02716064453125,88.78580474853516,246.6751708984375,downtown_walkBridge_01_0,naive_hmr2s_released_wham
21.14715576171875,1.0,1179,1178,127.20304870605469,60.068992614746094,144.25421142578125,downtown_walkBridge_01_0,adapter_hmr2s_released_wham
23.49752426147461,1.0,1179,1178,147.73570251464844,64.5098648071289,169.49583435058594,downtown_walkBridge_01_0,native_hmr2s_tuned_wham
3.8409576416015625,1.0,748,747,64.01671600341797,43.28531265258789,78.17213439941406,flat_guitar_01_0,released_wham
3.996863842010498,1.0,748,747,179.09532165527344,122.63211059570312,194.814697265625,flat_guitar_01_0,naive_hmr2s_released_wham
4.153688430786133,1.0,748,747,77.04642486572266,50.29841232299805,93.71195220947266,flat_guitar_01_0,adapter_hmr2s_released_wham
4.340945720672607,1.0,748,747,96.98822021484375,74.35855102539062,124.74478912353516,flat_guitar_01_0,native_hmr2s_tuned_wham
6.3717427253723145,0.9844155844155844,379,384,42.46961212158203,24.435537338256836,50.01649856567383,downtown_walkUphill_00_0,released_wham
19.680419921875,0.9844155844155844,379,384,176.3059539794922,80.66242980957031,195.69288635253906,downtown_walkUphill_00_0,naive_hmr2s_released_wham
20.5302677154541,0.9844155844155844,379,384,84.81072235107422,44.4842529296875,94.2504653930664,downtown_walkUphill_00_0,adapter_hmr2s_released_wham
23.840368270874023,0.9844155844155844,379,384,94.49462127685547,50.248722076416016,109.32303619384766,downtown_walkUphill_00_0,native_hmr2s_tuned_wham
7.033214569091797,1.0,825,824,38.57158660888672,23.64561653137207,46.6405029296875,downtown_upstairs_00_0,released_wham
13.050703048706055,1.0,825,824,167.93325805664062,80.93214416503906,188.7460174560547,downtown_upstairs_00_0,naive_hmr2s_released_wham
18.101726531982422,1.0,825,824,92.66108703613281,59.597381591796875,107.77169036865234,downtown_upstairs_00_0,adapter_hmr2s_released_wham
18.938396453857422,1.0,825,824,104.54766082763672,64.01848602294922,121.97183990478516,downtown_upstairs_00_0,native_hmr2s_tuned_wham
7.261188983917236,1.0,628,627,98.90741729736328,26.83884620666504,104.61058044433594,downtown_downstairs_00_0,released_wham
14.391977310180664,1.0,628,627,210.18032836914062,87.17671203613281,235.39578247070312,downtown_downstairs_00_0,naive_hmr2s_released_wham
20.51218032836914,1.0,628,627,124.15654754638672,67.31831359863281,143.56163024902344,downtown_downstairs_00_0,adapter_hmr2s_released_wham
19.56476593017578,1.0,628,627,138.43898010253906,71.15495300292969,161.01287841796875,downtown_downstairs_00_0,native_hmr2s_tuned_wham
5.840604782104492,0.9990412272291467,1042,1042,55.27065658569336,30.822561264038086,65.4470443725586,downtown_weeklyMarket_00_0,released_wham
15.780939102172852,0.9990412272291467,1042,1042,221.769287109375,93.60313415527344,256.9153747558594,downtown_weeklyMarket_00_0,naive_hmr2s_released_wham
17.954099655151367,0.9990412272291467,1042,1042,139.0533905029297,63.37199401855469,161.0953369140625,downtown_weeklyMarket_00_0,adapter_hmr2s_released_wham
20.014020919799805,0.9990412272291467,1042,1042,151.24679565429688,68.42626953125,178.92906188964844,downtown_weeklyMarket_00_0,native_hmr2s_tuned_wham
8.217941284179688,1.0,925,924,62.14847183227539,44.83850860595703,76.70865631103516,outdoors_fencing_01_0,released_wham
9.490089416503906,1.0,925,924,160.5279083251953,90.7037582397461,192.85556030273438,outdoors_fencing_01_0,naive_hmr2s_released_wham
9.99673080444336,1.0,925,924,77.3578109741211,49.76757049560547,96.70570373535156,outdoors_fencing_01_0,adapter_hmr2s_released_wham
11.24686050415039,1.0,925,924,106.28742218017578,69.79255676269531,129.03077697753906,outdoors_fencing_01_0,native_hmr2s_tuned_wham
5.779697418212891,0.9984289080911233,1271,1272,55.83623123168945,36.055152893066406,65.22647857666016,flat_packBags_00_0,released_wham
7.6883440017700195,0.9984289080911233,1271,1272,212.85183715820312,119.39319610595703,248.6918182373047,flat_packBags_00_0,naive_hmr2s_released_wham
8.776131629943848,0.9984289080911233,1271,1272,89.33624267578125,55.79753875732422,98.10108947753906,flat_packBags_00_0,adapter_hmr2s_released_wham
9.31130313873291,0.9984289080911233,1271,1272,113.23668670654297,68.76756286621094,136.89195251464844,flat_packBags_00_0,native_hmr2s_tuned_wham
7.518528938293457,0.9630252100840336,1146,1189,62.01987075805664,39.41078186035156,73.03677368164062,downtown_stairs_00_0,released_wham
10.195062637329102,0.9630252100840336,1146,1189,151.85223388671875,75.47547149658203,183.42974853515625,downtown_stairs_00_0,naive_hmr2s_released_wham
11.773947715759277,0.9630252100840336,1146,1189,85.79593658447266,53.29810333251953,102.10376739501953,downtown_stairs_00_0,adapter_hmr2s_released_wham
13.100944519042969,0.9630252100840336,1146,1189,108.59300231933594,64.37303161621094,129.6977081298828,downtown_stairs_00_0,native_hmr2s_tuned_wham
5.3296027183532715,0.9994462901439646,1805,1805,50.59967803955078,29.270105361938477,59.63686752319336,downtown_windowShopping_00_0,released_wham
6.9532365798950195,0.9994462901439646,1805,1805,157.41554260253906,74.53997802734375,188.4932098388672,downtown_windowShopping_00_0,naive_hmr2s_released_wham
7.7422709465026855,0.9994462901439646,1805,1805,68.38986206054688,37.209529876708984,78.74360656738281,downtown_windowShopping_00_0,adapter_hmr2s_released_wham
8.522683143615723,0.9994462901439646,1805,1805,85.05545043945312,46.89296340942383,103.8896713256836,downtown_windowShopping_00_0,native_hmr2s_tuned_wham
5.134230613708496,1.0,1358,1357,49.42029571533203,28.7054386138916,60.35442352294922,downtown_enterShop_00_0,released_wham
7.332642555236816,1.0,1358,1357,151.06936645507812,81.1799087524414,185.8638458251953,downtown_enterShop_00_0,naive_hmr2s_released_wham
8.467544555664062,1.0,1358,1357,68.84567260742188,42.18612289428711,84.16047668457031,downtown_enterShop_00_0,adapter_hmr2s_released_wham
8.616767883300781,1.0,1358,1357,82.05447387695312,52.57420349121094,105.72109985351562,downtown_enterShop_00_0,native_hmr2s_tuned_wham
