accel_official_30fps,detection_rate,detections,filter,frames,mpjpe_mm,pa_mpjpe_mm,pve_mm,sequence,split
10.60428524017334,1.0,274,raw,273,48.17239761352539,31.583454132080078,57.67052459716797,outdoors_freestyle_01_0,validation
9.359369277954102,1.0,274,light,273,48.315757751464844,31.306476593017578,57.921653747558594,outdoors_freestyle_01_0,validation
8.76970100402832,1.0,274,medium,273,50.271400451660156,32.821434020996094,59.97904586791992,outdoors_freestyle_01_0,validation
8.720602035522461,1.0,274,strong,273,56.659088134765625,38.49549102783203,66.79674530029297,outdoors_freestyle_01_0,validation
9.934652328491211,1.0,301,raw,300,62.923377990722656,47.711769104003906,79.53324890136719,outdoors_parcours_00_0,validation
8.619943618774414,1.0,301,light,300,63.18001937866211,47.648624420166016,79.84143829345703,outdoors_parcours_00_0,validation
7.738086700439453,1.0,301,medium,300,64.42758178710938,48.2618408203125,81.0490493774414,outdoors_parcours_00_0,validation
7.063822269439697,1.0,301,strong,300,68.9702377319336,51.39768981933594,85.3477783203125,outdoors_parcours_00_0,validation
13.016290664672852,1.0,301,raw,300,85.73760986328125,61.0669059753418,106.59650421142578,outdoors_parcours_01_0,validation
11.81579303741455,1.0,301,light,300,86.41368865966797,61.55070877075195,107.27404022216797,outdoors_parcours_01_0,validation
11.05066967010498,1.0,301,medium,300,87.75277709960938,62.4576301574707,108.56627655029297,outdoors_parcours_01_0,validation
10.399551391601562,1.0,301,strong,300,91.73558807373047,64.95674133300781,112.40473937988281,outdoors_parcours_01_0,validation
26.99077606201172,0.9933554817275747,299,raw,300,104.994873046875,66.87332916259766,119.34955596923828,outdoors_crosscountry_00_0,validation
23.86037826538086,0.9933554817275747,299,light,300,103.04267120361328,64.34544372558594,117.56183624267578,outdoors_crosscountry_00_0,validation
21.359575271606445,0.9933554817275747,299,medium,300,100.9490737915039,61.683536529541016,115.68907928466797,outdoors_crosscountry_00_0,validation
18.936079025268555,0.9933554817275747,299,strong,300,99.59073638916016,60.4168701171875,114.80558776855469,outdoors_crosscountry_00_0,validation
9.22069263458252,1.0,301,raw,300,63.208309173583984,43.38990020751953,78.85730743408203,courtyard_basketball_01_0,validation
8.375736236572266,1.0,301,light,300,64.34892272949219,44.220760345458984,80.08538818359375,courtyard_basketball_01_0,validation
7.868748188018799,1.0,301,medium,300,66.61920166015625,45.82815933227539,82.67662811279297,courtyard_basketball_01_0,validation
7.5364909172058105,1.0,301,strong,300,72.58519744873047,49.81536102294922,89.65234375,courtyard_basketball_01_0,validation
3.3419532775878906,1.0,301,raw,300,50.54991912841797,31.186744689941406,59.68619155883789,outdoors_golf_00_0,validation
2.9402854442596436,1.0,301,light,300,50.95315933227539,31.42250633239746,60.28144454956055,outdoors_golf_00_0,validation
